rep(cancerdir, nrow(sigminus))	genenames	fixed_generatio	bestmodelnames	generatio_coef	generatio_pval	generatio_qval	partialeta2
BRCA	ZNF511|118472	1	mod7	-0.669122847482897	2.70273333327579e-08	4.78487247500096e-07	0.328838360771471
BRCA	ZNF32|7580	1	mod7	-0.826526147426036	2.0958202742345e-07	2.41019331536968e-06	0.293601018325876
KICHKIRCKIRP	ZNF300|91975	1	mod7	-1.27608934076072	1.20442466756386e-16	2.21614138831751e-14	0.465462236156712
KICHKIRCKIRP	ZNF311|282890	1	mod7	-1.24228164953363	5.24978134660467e-14	4.8297988388763e-12	0.403751688900722
KICHKIRCKIRP	ZNF44|51710	1	mod7	-0.946168368586041	4.77252139717174e-13	3.5125757483184e-11	0.37966834118039
KICHKIRCKIRP	ZNF883|169834	1	mod7	-0.788362757199013	4.47041588726569e-11	1.64511304651377e-09	0.327160928428516
KICHKIRCKIRP	ZNF160|90338	1	mod7	-1.39081616790226	5.90251069850321e-11	1.97465812459017e-09	0.323812744071366
KICHKIRCKIRP	ZNF28|7576	1	mod7	-1.4256166418471	1.07484009099931e-10	2.8252939534839e-09	0.316537463185714
KICHKIRCKIRP	ZNF273|10793	1	mod7	-1.42968141451917	2.99838213843497e-10	7.16528411779062e-09	0.30391339809785
KICHKIRCKIRP	ZNF239|8187	1	mod7	-1.4942043308804	3.11534092077853e-10	7.16528411779062e-09	0.303438309284723
KICHKIRCKIRP	ZNF320|162967	1	mod7	-0.86187097724315	3.78664349034752e-10	8.19696943792876e-09	0.301010793572392
KICHKIRCKIRP	ZNF620|253639	1	mod7	-1.64149563458233	7.12607001054028e-10	1.45688542437712e-08	0.293090847645194
KICHKIRCKIRP	ZNF701|55762	1	mod7	-1.25175017471256	4.54623406509875e-08	6.80825201854273e-07	0.238937228108283
KICHKIRCKIRP	ZFP90|146198	1	mod7	-1.51145585475334	4.93777398728868e-08	6.98884933585475e-07	0.237823411677341
KICHKIRCKIRP	ZNF213|7760	1	mod7	-1.12876900487295	9.07672485554298e-08	1.23712398031104e-06	0.22957070939118
KICHKIRCKIRP	ZNF257|113835	1	mod7	-1.0384603686914	1.60637073568206e-07	2.03842907148619e-06	0.221760662659716
KICHKIRCKIRP	ZNF93|81931	1	mod7	-1.10503415833265	2.60330520426567e-07	3.09037521022505e-06	0.215101088546594
KICHKIRCKIRP	ZNF415|55786	1	mod7	-0.844984354017218	1.14448533177327e-06	1.27627455179564e-05	0.194368974376421
KICHKIRCKIRP	ZNF547|284306	1	mod7	-0.94196303136503	2.21641546488213e-06	2.26566914187951e-05	0.184967251175003
KICHKIRCKIRP	ZNF136|7695	1	mod7	-1.58295746901754	2.3051633317069e-06	2.29270298937335e-05	0.184405942079717
KICHKIRCKIRP	ZNF611|81856	1	mod7	-0.888292983970624	2.38107017689568e-06	2.30587848709897e-05	0.183942498527498
KICHKIRCKIRP	ZNF860|344787	1	mod7	-1.11014956208334	2.57627927764956e-06	2.43095070301291e-05	0.182814462590097
KICHKIRCKIRP	ZNF19|7567	1	mod7	-1.17140573129475	3.21293721607317e-06	2.93063993186666e-05	0.179646190778747
KICHKIRCKIRP	ZNF157|7712	1	mod7	-1.26626624238474	3.27544686038725e-06	2.93063993186666e-05	0.179369279742197
KICHKIRCKIRP	ZNF460|10794	1	mod7	-0.583616640770281	3.34475209615217e-06	2.93063993186666e-05	0.179068290638659
KICHKIRCKIRP	ZNF468|90333	1	mod7	-0.876637935990397	3.60515296221159e-06	3.08534020952061e-05	0.177989838012141
LUADLUSC	ZNF511|118472	1	mod7	-0.683609713379534	2.74477856823635e-06	8.93874790363698e-06	0.226727214608858
LUADLUSC	ZNF35|7584	1	mod7	-0.733628225249165	3.20825324440769e-05	9.08182456878485e-05	0.183070122476228
