rep(cancerdir, nrow(sigminus))	genenames	fixed_generatio	bestmodelnames	generatio_coef	generatio_pval	generatio_qval	partialeta2
LUADLUSC	ZNF81|347344	1	mod3	-0.509486795485343	1.14357331331281e-06	1.31510931030973e-05	0.204409730982237
LUADLUSC	ZFP92|139735	1	mod3	-0.651670141105922	1.62824310394458e-06	1.8157377643988e-05	0.199169263632218
LUADLUSC	ZNF398|57541	1	mod3	-0.674233769722685	1.75720452608141e-06	1.90191548705282e-05	0.198035006727411
LUADLUSC	ZNF749|388567	1	mod3	-0.622321031153565	2.00696117679709e-06	2.11017632303237e-05	0.19605417029748
LUADLUSC	ZNF426|79088	1	mod3	-0.600095304611375	2.60340888431951e-06	2.66126241508217e-05	0.192164115406459
LUADLUSC	ZNF41|7592	1	mod3	-0.812012396804628	2.93516377055584e-06	2.91929802044473e-05	0.190365727969466
LUADLUSC	ZNF496|84838	1	mod3	-0.617038028929889	3.6082429384175e-06	3.49429842457274e-05	0.187262431932883
LUADLUSC	ZNF660|285349	1	mod3	-0.673047250542622	5.31654631207454e-06	4.89122260710858e-05	0.181410168975906
LUADLUSC	ZNF768|79724	1	mod3	-0.503744144694929	7.86483564542353e-06	6.73083608724618e-05	0.175463571068635
LUADLUSC	ZFP28|140612	1	mod3	-0.619445332044434	9.56619851913997e-06	7.72125150962593e-05	0.17247677856824
LUADLUSC	ZNF778|197320	1	mod3	-0.608845764709435	9.80241105458149e-06	7.72125150962593e-05	0.1721041598012
LUADLUSC	ZNF160|90338	1	mod3	-0.521154282381449	1.28767160112862e-05	9.67067651459862e-05	0.167928094442896
THCA	ZNF98|148198	1	mod6	-0.659027589720464	2.90150598093145e-09	5.35702317710479e-07	0.563365721331388
THCA	ZNF135|7694	1	mod7	-1.16711699752073	6.74909292661414e-09	8.27888732331335e-07	0.554726693179992
THCA	ZNF720|124411	1	mod6	-1.33265415810299	1.45135253943825e-08	1.06819546902655e-06	0.530033798882963
THCA	ZNF91|7644	1	mod6	-0.693629965587677	6.81358010687396e-08	2.27945225393602e-06	0.495709000312456
THCA	ZNF471|57573	1	mod3	-0.538353990694996	2.91142563973086e-09	5.35702317710479e-07	0.488748902280538
THCA	ZNF41|7592	1	mod6	-0.64694265829239	9.84068731580527e-08	2.87505403479249e-06	0.487202047306586
THCA	ZNF28|7576	1	mod6	-0.742061439518463	1.38646716037635e-07	3.4014661001233e-06	0.479145178932499
