rep(cancerdir, nrow(sigminus))	genenames	fixed_generatio	bestmodelnames	generatio_coef	generatio_pval	generatio_qval	partialeta2
BRCA	ZNF45|7596	1	mod7	-1.27922586685115	2.29634511609976e-05	6.81495969939284e-05	0.206476903270277
BRCA	ZNF180|7733	1	mod7	-0.97213055918209	2.37019949690741e-05	6.97786731889542e-05	0.20585998559694
BRCA	ZNF92|168374	1	mod7	-0.369090051038624	2.7900525196505e-05	8.1487248192967e-05	0.202675538896108
BRCA	ZNF776|284309	1	mod3	-0.784897123578649	4.9127558083657e-06	1.7398426882684e-05	0.201967740785297
BRCA	ZNF418|147686	1	mod7	-0.614162792356394	2.89887993454618e-05	8.33243509210213e-05	0.201926907634067
BRCA	ZNF28|7576	1	mod7	-0.926800311523451	2.92088077956841e-05	8.33243509210213e-05	0.201778915382696
BRCA	ZNF257|113835	1	mod7	-0.676587968934321	3.22061603647231e-05	9.11682078016777e-05	0.199864841170499
BRCA	ZNF764|92595	1	mod3	-1.57045878120302	6.7625786092865e-06	2.34776313982777e-05	0.196673545813688
BRCA	ZNF205|7755	1	mod3	-0.636005734783054	1.28809083513881e-05	4.12189067244418e-05	0.18591206841826
BRCA	ZKSCAN5|23660	1	mod3	-1.94822485045863	1.99245466525719e-05	6.0596968331789e-05	0.178561774769453
BRCA	ZNF707|286075	1	mod3	-0.741883993596189	2.83982604513302e-05	8.22878728038543e-05	0.172552433113536
ESCASTAD	ZNF215|7762	1	mod3	-0.737210451248445	1.0693676191358e-06	7.76852355420356e-05	0.452327547784083
KICHKIRCKIRP	ZNF44|51710	1	mod3	-0.315260537606833	1.28225056043674e-08	4.71868206240721e-07	0.233786805361438
KICHKIRCKIRP	ZNF511|118472	1	mod3	-0.401926089612911	1.01059068019614e-06	1.37739766782289e-05	0.178610166809324
KICHKIRCKIRP	ZNF311|282890	1	mod3	-0.340997526860987	1.2577844476073e-06	1.64375001380079e-05	0.175758706350763
KICHKIRCKIRP	ZNF883|169834	1	mod3	-0.248441176492769	2.91589864083795e-06	3.35328343696364e-05	0.164726920926202
KICHKIRCKIRP	ZNF32|7580	1	mod3	-0.410636861864915	3.08944985769232e-06	3.44520468979023e-05	0.163964064781181
KICHKIRCKIRP	ZNF460|10794	1	mod3	-0.244394543331171	6.22119407920065e-06	6.18756600309686e-05	0.154684871956053
LUADLUSC	ZNF511|118472	1	mod7	-0.503323156045741	7.28329229813697e-08	8.37578614285751e-07	0.28750165964074
LUADLUSC	ZNF32|7580	1	mod7	-0.40924596045097	1.76610189283404e-07	1.71033025411297e-06	0.273076482045133
LUADLUSC	ZNF627|199692	1	mod7	-0.357510289312687	5.29577974233275e-06	3.60897582440454e-05	0.215250626053112
