rep(cancerdir, nrow(sigplus))	genenames	fixed_generatio	bestmodelnames	generatio_coef	generatio_pval	generatio_qval	partialeta2
BRCA	ZNF570|148268	1	mod3	1.0094398035251	2.12870918016916e-11	1.1788667088277e-10	0.384141012954556
BRCA	ZNF43|7594	1	mod3	0.714049613658014	2.14630623618086e-11	1.1788667088277e-10	0.38403372517877
BRCA	ZNF549|256051	1	mod7	0.896958695914243	1.15951347044888e-09	5.02001126029631e-09	0.379825981217894
BRCA	ZNF134|7693	1	mod7	0.856470655474685	1.54363011285417e-09	6.42805475941347e-09	0.375348375423233
BRCA	ZNF268|10795	1	mod7	0.84820722851848	1.55461106953206e-09	6.42805475941347e-09	0.37523706152821
BRCA	ZNF568|374900	1	mod7	1.00370033077888	2.03151473736112e-09	8.3066380372099e-09	0.371021737009273
BRCA	ZNF605|100289635	1	mod7	0.792855153600453	2.27601836447462e-09	9.00618019491031e-09	0.369223107860994
BRCA	ZNF273|10793	1	mod7	0.591325102311418	2.41768810695514e-09	9.46499173786692e-09	0.368265449678965
BRCA	ZNF525|170958	1	mod7	0.555224469392175	3.3857145401708e-09	1.29785724039881e-08	0.362899448911666
BRCA	ZNF260|339324	1	mod7	0.744280900586648	3.48322755567919e-09	1.32147189741231e-08	0.362445033527576
BRCA	ZNF714|148206	1	mod7	0.504538019413437	3.84592384416093e-09	1.41529997465122e-08	0.360857393308894
BRCA	ZNF345|25850	1	mod3	0.986054192640004	1.30101159550405e-10	6.93872850935494e-10	0.360114606110501
BRCA	ZNF304|57343	1	mod7	0.923205837064767	4.42703978212202e-09	1.59720650962834e-08	0.358595564571966
BRCA	ZNF674|641339	1	mod3	1.14132435655012	1.56477985316113e-10	8.22627122804709e-10	0.357614763882215
BRCA	ZNF197|10168	1	mod7	1.2355301704825	4.99226020408468e-09	1.76649207221458e-08	0.356658227359398
BRCA	ZFP90|146198	1	mod3	1.2548818798221	1.84915359400614e-10	9.58434538865153e-10	0.355345527219098
BRCA	ZNF519|162655	1	mod7	0.763510729636435	5.70421607358684e-09	1.96182384586912e-08	0.354502264980285
BRCA	ZNF283|284349	1	mod7	1.03829216836279	6.41227741317428e-09	2.16487897986067e-08	0.352604422825742
BRCA	ZNF510|22869	1	mod7	1.01586600679019	6.91777792886412e-09	2.31431116165636e-08	0.351370869065033
BRCA	ZNF665|79788	1	mod3	0.785453588274337	2.47920764884e-10	1.24979234900427e-09	0.351342448979546
BRCA	ZNF562|54811	1	mod3	0.627167579446215	2.60602830185472e-10	1.29597083119262e-09	0.350659000350985
BRCA	ZNF506|440515	1	mod3	1.2608851871861	2.83091877501972e-10	1.38903747894301e-09	0.349523524630709
BRCA	ZFP30|22835	1	mod3	0.735619936769258	3.09502321518291e-10	1.4986428199833e-09	0.348297870782734
BRCA	ZNF175|7728	1	mod3	0.908928858536095	3.35637859331284e-10	1.60408743160926e-09	0.34718199278202
BRCA	ZNF737|100129842	1	mod3	0.487782277941131	3.78619111450589e-10	1.78630555145919e-09	0.345520009427201
BRCA	RBAK|57786	1	mod7	0.815850641788454	1.08779753560035e-08	3.44499270909278e-08	0.343966370205938
BRCA	ZNF778|197320	1	mod7	0.944835726150262	1.08902431536914e-08	3.44499270909278e-08	0.343947833684904
BRCA	ZNF761|388561	1	mod7	1.01247948498395	1.09815984584794e-08	3.44499270909278e-08	0.343810434613692
BRCA	ZNF154|7710	1	mod7	0.418466276927858	1.11400579451641e-08	3.44499270909278e-08	0.343574736217719
BRCA	ZNF135|7694	1	mod7	0.81165150480834	1.31512747222279e-08	3.99972652709079e-08	0.340838388253642
BRCA	ZNF225|7768	1	mod3	1.00600418636512	6.48169764793975e-10	2.94477127708868e-09	0.338055872628906
BRCA	ZNF790|388536	1	mod7	1.20515696279463	1.61768636496653e-08	4.8399071732332e-08	0.33740958834827
BRCA	ZNF625|90589	1	mod7	0.747790714628654	2.23115766215401e-08	6.6215001586506e-08	0.332052373694184
BRCA	ZNF557|79230	1	mod3	0.849142973628332	1.00640261155408e-09	4.40900191728456e-09	0.33188753717268
BRCA	ZNF99|7652	1	mod7	1.1202361229122	2.42432923562129e-08	7.13722526966908e-08	0.330662309576504
BRCA	ZNF223|7766	1	mod7	0.724595906879461	2.64979874569386e-08	7.73909474932811e-08	0.329170578316436
BRCA	ZNF677|342926	1	mod3	0.924387232599329	1.28213803049301e-09	5.4863580839701e-09	0.328469711426151
BRCA	ZNF551|90233	1	mod7	0.529252387121959	2.83377368604114e-08	8.21124973593024e-08	0.328042535028973
BRCA	ZNF616|90317	1	mod7	0.789960845750029	3.06766193762603e-08	8.81952807067483e-08	0.326707519818549
BRCA	ZNF28|7576	1	mod3	0.828597714115061	1.48241151517364e-09	6.27043031705633e-09	0.326413213637774
BRCA	ZNF107|51427	1	mod7	0.339241644629918	4.43602172698904e-08	1.25573538117844e-07	0.320466131302226
BRCA	ZNF320|162967	1	mod3	0.797654436504056	2.26351246443139e-09	9.00618019491031e-09	0.320382420192362
BRCA	ZNF254|9534	1	mod3	0.703369299947079	2.27138562583152e-09	9.00618019491031e-09	0.320332735734517
BRCA	ZNF615|284370	1	mod3	0.943094894855878	2.4990731291214e-09	9.68062012122816e-09	0.318964466250764
BRCA	ZNF418|147686	1	mod7	0.517022523367829	5.12115184226336e-08	1.4386136472923e-07	0.318021357469514
BRCA	ZNF235|9310	1	mod3	1.02872946467545	3.7885217276207e-09	1.40825858158022e-08	0.312975211182073
BRCA	ZNF486|90649	1	mod3	0.501544434950909	4.09028314085333e-09	1.49032098597428e-08	0.311866626882073
BRCA	ZNF772|400720	1	mod7	0.584137776440788	8.20321264348309e-08	2.26976109233216e-07	0.309944162745531
BRCA	ZNF721|170960	1	mod3	0.846659282531894	4.67404446394318e-09	1.66994986672921e-08	0.309932842586431
BRCA	ZNF461|92283	1	mod3	0.980388661778495	5.17986685306691e-09	1.81542000183678e-08	0.308439964805271
BRCA	ZNF440|126070	1	mod3	0.797811626420958	5.45025216894806e-09	1.89216301714423e-08	0.307699601473265
BRCA	ZNF10|7556	1	mod7	0.540949112473812	1.02387706505364e-07	2.80612818297962e-07	0.30611376140989
BRCA	ZNF681|148213	1	mod7	0.441422261084005	1.02942202364741e-07	2.80612818297962e-07	0.306020183486154
BRCA	ZNF182|7569	1	mod3	1.13265630260032	6.41187722663679e-09	2.16487897986067e-08	0.305330356071189
